Model,MAE,MAPE(%),MSE,RMSE,MAE_std,Folds
GradientBoosting,217853581.0,22.58,8.576619392044976e+16,275086227.0,63766981.0,4
RandomForest,233723312.0,26.62,9.744538454249571e+16,292694254.0,92024959.0,4
Ensemble_Stacking,253909823.0,30.31,1.0759038803631438e+17,304587987.0,104642538.0,4
Ensemble_Voting,261637552.0,29.7,1.1798977652686363e+17,315485320.0,120527363.0,4
XGBoost,263138192.0,31.02,1.0974695087293909e+17,298438341.0,136200168.0,4
Ridge,267893649.0,28.38,1.0063089165171402e+17,307542278.0,81809437.0,4
ElasticNet,290865745.0,35.25,1.2303660492473715e+17,341882822.0,75189475.0,4
Lasso,292224476.0,35.91,1.2569614059712922e+17,342536953.0,86363142.0,4
LightGBM,330339256.0,37.31,1.7562425735282573e+17,393870299.0,136912250.0,4
